Quarter,Revenues,Cost of Sales,Gross Profit,Operating Overhead Expense,Total Selling and Administrative Expense,Net Income,Effective Tax Rate,Inventories,Cash and Equivalents,Dividends Declared per Common Share,Sentiment_about_results,Sentiment_about_future
2022-03-01,12.248,6.552,5.696,2.654,3.572,1.874,0.11,6.699,10.72,0.275,0.9,0.85
2022-06-01,11.357,6.144,5.213,2.742,3.759,1.337,0.109,6.506,10.751,0.305,0.85,0.8
2022-09-01,10.871,5.804,5.067,2.584,3.438,1.396,0.164,7.7,8.704,0.3,0.85,0.75
2022-12-01,12.234,6.731,5.503,2.974,4.035,1.439,0.0477,8.42,8.574,0.305,0.6,0.7
2023-03-01,12.687,7.072,5.615,2.977,3.92,1.468,0.197,9.662,7.226,0.305,0.7,0.6
2023-06-01,13.315,7.604,5.711,3.022,4.124,1.331,0.193,9.326,6.49,0.34,0.8,0.7
2023-09-01,12.39,7.019,5.371,3.036,3.959,1.24,0.16,8.905,6.955,0.34,0.6,0.7
2023-12-01,12.182,7.23,5.595,3.382,4.374,1.031,0.173,4.854,7.441,0.34,0.6,0.7
